FNAME,LNAME,SEX,YOB,CITIZEN,HIRED,LEADER,MSOLO,MSUCCESS,MPERHIGHPT,MYEAR,MSEASON,INJURY,DEATH,INJURYTYPE,DEATHTYPE,MO2USED
Juan Ramon,Arrue Alberdi,M,1948,Spain,FALSE,FALSE,FALSE,FALSE,0,1980,1,FALSE,FALSE,0,0,FALSE
Enrique-Julian (Kike),De Pablo Benito,M,1952,Spain,FALSE,FALSE,FALSE,FALSE,0,1980,1,FALSE,FALSE,0,0,FALSE
Xabier,Erro Jauregui,M,1946,Spain,FALSE,FALSE,FALSE,FALSE,8000,1980,1,FALSE,FALSE,0,0,TRUE
Ricardo,Gallardo Senosian,M,1940,Spain,FALSE,FALSE,FALSE,FALSE,8750,1980,1,FALSE,FALSE,0,0,TRUE
Francisco Javier,Garayoa Aizcorbe,M,1950,Spain,FALSE,FALSE,FALSE,FALSE,8750,1980,1,FALSE,FALSE,0,0,TRUE
Jose Emilio,Hernando Arranz,M,1953,Spain,FALSE,FALSE,FALSE,FALSE,0,1980,1,FALSE,FALSE,0,0,FALSE
Juan Ignacio,Lorente Zugaza,M,1939,Spain,FALSE,TRUE,FALSE,FALSE,0,1980,1,FALSE,FALSE,0,0,FALSE
Luis Maria,Saenz De Olazagoitia,M,1943,Spain,FALSE,FALSE,FALSE,FALSE,0,1980,1,FALSE,FALSE,0,0,FALSE
Jose-Takolo,Urbieta Cendoya,M,1941,Spain,FALSE,FALSE,FALSE,FALSE,0,1980,1,FALSE,FALSE,0,0,FALSE
Felipe,Uriarte Camara,M,1944,Spain,FALSE,FALSE,FALSE,FALSE,0,1980,1,FALSE,FALSE,0,0,FALSE
Angel Alexandre,Vallejo Rosen,M,1942,Spain,FALSE,FALSE,FALSE,FALSE,8750,1980,1,FALSE,FALSE,0,0,TRUE
Martin,Zabaleta Larburu,M,1949,Spain,FALSE,FALSE,FALSE,TRUE,8849,1980,1,FALSE,FALSE,0,0,TRUE
Pasang Temba,Sherpa,M,1950,Nepal,TRUE,FALSE,FALSE,TRUE,8849,1980,1,FALSE,FALSE,0,0,TRUE
Konstanty,Chitulescu,M,1938,Poland,FALSE,FALSE,FALSE,FALSE,0,1980,1,FALSE,FALSE,0,0,FALSE
Eugeniusz (Genek),Chrobak,M,1939,Poland,FALSE,FALSE,FALSE,FALSE,7200,1980,1,FALSE,FALSE,0,0,FALSE
Krzysztof,Cielecki,M,,Poland,FALSE,FALSE,FALSE,FALSE,7300,1980,1,FALSE,FALSE,0,0,FALSE
Andrzej (Leszek),Czok,M,1948,Poland,FALSE,FALSE,FALSE,TRUE,8849,1980,1,FALSE,FALSE,0,0,TRUE
Ryszard,Gajewski,M,1954,Poland,FALSE,FALSE,FALSE,FALSE,8300,1980,1,FALSE,FALSE,0,0,FALSE
Zygmunt Andrzej (Zyga),Heinrich,M,1937,Poland,FALSE,FALSE,FALSE,FALSE,8050,1980,1,FALSE,FALSE,0,0,FALSE
Lech,Korniszewski,M,1936,Poland,FALSE,FALSE,FALSE,FALSE,0,1980,1,FALSE,FALSE,0,0,FALSE
Jerzy,Kukuczka,M,1948,Poland,FALSE,FALSE,FALSE,TRUE,8849,1980,1,FALSE,FALSE,0,0,TRUE
Janusz,Kulis,M,1950,Poland,FALSE,FALSE,FALSE,FALSE,8300,1980,1,FALSE,FALSE,0,0,FALSE
Kazimierz,Olech,M,1928,Poland,FALSE,FALSE,FALSE,FALSE,8050,1980,1,FALSE,FALSE,0,0,FALSE
Kazimierz,Rusiecki,M,1941,Poland,FALSE,FALSE,FALSE,FALSE,8300,1980,1,FALSE,FALSE,0,0,FALSE
Marian,Sajnog,M,1939,Poland,FALSE,FALSE,FALSE,FALSE,0,1980,1,FALSE,FALSE,0,0,FALSE
Piotr,Stawicki,M,1948,Poland,FALSE,FALSE,FALSE,FALSE,0,1980,1,FALSE,FALSE,0,0,FALSE
Krzysztof,Wisniewski,M,1937,Poland,FALSE,FALSE,FALSE,FALSE,0,1980,1,FALSE,FALSE,0,0,FALSE
Wojciech,Wroz,M,1942,Poland,FALSE,FALSE,FALSE,FALSE,8050,1980,1,FALSE,FALSE,0,0,FALSE
Andrzej,Zawada,M,1928,Poland,FALSE,TRUE,FALSE,FALSE,0,1980,1,FALSE,FALSE,0,0,FALSE
Ricardo,Cots Trullas,M,1940,Spain,FALSE,TRUE,FALSE,FALSE,0,1980,1,FALSE,FALSE,0,0,FALSE
Reinhold,Messner,M,1944,Italy,FALSE,TRUE,TRUE,TRUE,8849,1980,2,FALSE,FALSE,0,0,FALSE
Joze,Andlovic,M,1923,Yugoslavia,FALSE,FALSE,FALSE,FALSE,0,1980,3,FALSE,FALSE,0,0,FALSE
